Date(s),Sport,Event,Location,date_start,date_end
Jan 9 - Feb 6,Football (Soccer),Africa Cup of Nations,Cameroon,2022-01-09,2022-02-06
Jan 17-30,Tennis,Australian Open,"Melbourne, Australia",2022-01-17,2022-01-30
Jan 21-23,Extreme Sports,Winter X Games 26,"Aspen, Colorado, USA",2022-01-21,2022-01-23
Feb 4-20,Multi-sports,Winter Olympics,"Beijing, China",2022-02-04,2022-02-20
Feb 5 - Mar 19,Rugby,Six Nations,"UK, Ireland, France & Italy",2022-02-05,2022-03-19
Feb 13,Football (American),Super Bowl,"Inglewood, California",2022-02-13,2022-02-13
Mar 4-13,Multi-sports,Winter Paralympics,"Beijing, China",2022-03-04,2022-03-13
Mar 4 - Apr 3,Cricket,ODI World Cup for women,New Zealand,2022-03-04,2022-04-03
Mar 22-27 (postponed from 2021),Multi-sports,Winter Military World Games,"Berchtesgaden and Ruhpolding, Germany",2022-03-22,2022-03-27
Apr 7-10,Golf,Masters,"Augusta, Georgia, USA",2022-04-07,2022-04-10
Apr 9,Horse Racing,Grand National,Aintree Racecourse in Liverpool,2022-04-09,2022-04-09
Apr 16-22,Multi-sports,Invictus Games,"The Hague, Netherlands",2022-04-16,2022-04-22
Apr 16 - May 2,Snooker,World Snooker Championship,"Crucible Theatre in Sheffield, England",2022-04-16,2022-05-02
May 7,Horse Racing,Kentucky Derby,"Louisville, Kentucky, US",2022-05-07,2022-05-07
May 12-23 (postponed from 2021),Multi-sports,South-East Asian Games,"Hanoi, Vietnam",2022-05-12,2022-05-23
May 13-29 (postponed from 2021),Multi-sports,World Masters Games (Summer),"Kansai, Japan",2022-05-13,2022-05-29
May 13-29,Ice Hockey,IIHF World Championship,Finland,2022-05-13,2022-05-29
May 19-22,Golf,US PGA,"Southern Hills Country Club,
Tulsa, Oklahoma",2022-05-19,2022-05-22
May 22 - Jun 5,Tennis,French Open,"Paris, France",2022-05-22,2022-06-05
May 28,Football (Soccer),UEFA Champions League Final,"Stade de France, Saint-Denis, France",2022-05-28,2022-05-28
May 29,Auto Racing,Indianapolis 500,"Indianapolis, USA",2022-05-29,2022-05-29
Jun 2-16,Basketball,NBA Finals,Boston & San Francisco,2022-06-02,2022-06-16
Jun 15-28,Ice Hockey,Stanley Cup finals,"Tampa & Denver, USA",2022-06-15,2022-06-28
Jun 16-19,Golf,US Open,"The Country Club	Brookline, Massachusetts",2022-06-16,2022-06-19
Jun 18 - July 3,Swimming,World Aquatics Championships,"Budapest, Hungary",2022-06-18,2022-07-03
Jun 27 - Jul 10,Tennis,Wimbledon,"London, England",2022-06-27,2022-07-10
Jul 1-17,Field Hockey,Women's FIH Hockey World Cup,"Terrassa, Spain and Amstelveen, Netherlands",2022-07-01,2022-07-17
Jul 1-24,Cycling,Tour de France,France,2022-07-01,2022-07-24
Jul 7-17 (postponed from 2021),Multi-sports,World Games,"Birmingham, Alabama, USA",2022-07-07,2022-07-17
Jul 14-17,Golf,The Open Championship,Old Course at St Andrews	St Andrews	Fife	Scotland,2022-07-14,2022-07-17
Jul 15-24 (postponed from 2021),Athletics,IAAF World Championships,"Eugene, Oregon USA",2022-07-15,2022-07-24
July 20-24,Extreme Sports,Summer X Games,"California, USA",2022-07-20,2022-07-24
Jul 22- Jul 31 (postponed from 2021),Multi-sports,World Police and Fire Games,"Rotterdam, South Holland, Netherlands",2022-07-22,2022-07-31
Jul 24-31,Cycling,Tour de France Femmes,France,2022-07-24,2022-07-31
Jul 28 - Aug 8,Multi-sports,Commonwealth Games,"Birmingham, England",2022-07-28,2022-08-08
Jul 28 - Aug 8,American Football,IFAF Women's American Football Championships,Vantaa Finland,2022-07-28,2022-08-08
Aug 6-14,Equestrian,FEI World Equestrian Games,"Herning, Denmark",2022-08-06,2022-08-14
Aug 9-18 (postponed from 2021),Multi-sports,Islamic Solidarity Games,"Konya, Türkiye",2022-08-09,2022-08-18
Aug 11–21,Multi-sports,European Sports Championships,"Munich, Germany",2022-08-11,2022-08-21
Aug 26 - Sep 11,Volleyball,World Volleyball Championships (men),Poland & Slovenia,2022-08-26,2022-09-11
Aug 29 - Sep 11,Tennis,US Open,"New York, USA",2022-08-29,2022-09-11
Sep 9-11,Rugby 7s,Rugby World Cup Sevens,"Cape Town, South Africa",2022-09-09,2022-09-11
Sep 18-25,Cycling,UCI Road World Championships,"Wollongong, Australia",2022-09-18,2022-09-25
Sep 18-25,Rowing,World Rowing Championships,"Račice, Czechia",2022-09-18,2022-09-25
