Date,New COVID Cases,New Deaths,New Vaccinations
2020-02-12,0,0,0
2020-11-17,8912904,130993,0
2020-11-18,45576,585,0
2020-11-19,45882,584,0
2020-12-02,530599,6486,0
2020-12-06,142239,1925,0
2020-12-09,90168,1199,0
2020-12-12,89658,1247,0
2020-12-16,99528,1432,0
2020-12-19,74666,1026,0
2020-12-20,24337,333,0
2020-12-23,68218,946,0
2020-12-31,162931,2238,0
2021-01-02,37256,441,0
2021-01-06,71313,901,0
2021-01-07,18139,234,0
2021-01-09,36867,429,0
2021-01-15,92557,1094,0
2021-01-16,15144,181,191181
2021-01-17,13788,145,33120
2021-01-18,10050,137,229748
2021-01-19,13816,162,220786
2021-01-20,15244,151,131649
2021-01-21,14545,163,237050
2021-01-22,14256,152,347058
2021-01-23,14849,155,191609
2021-01-24,13203,131,33303
2021-01-25,9102,117,408305
2021-01-26,12689,137,5671
2021-01-27,11666,123,326499
2021-01-28,18855,163,572074
2021-01-29,13082,137,571974
2021-01-30,13044,127,244307
2021-01-31,11436,118,14509
2021-02-01,8635,94,191313
2021-02-02,11039,110,188762
2021-02-03,12899,107,310634
2021-02-04,12408,120,509893
2021-02-05,11713,95,457404
2021-02-06,12059,78,358473
2021-02-07,11831,84,37040
2021-02-08,9110,78,446646
2021-02-09,11067,94,352553
2021-02-10,12923,108,405553
2021-02-11,9309,87,487896
2021-02-12,12143,103,462637
2021-02-13,12194,92,84807
2021-02-15,20770,171,464317
2021-02-16,11610,100,340570
2021-02-17,12881,101,329416
2021-02-18,13193,97,659766
2021-02-19,13993,101,603419
2021-02-20,14264,90,388381
2021-02-21,14199,83,246850
2021-02-22,10584,78,338921
2021-02-23,13742,104,483298
2021-02-24,16738,138,459241
2021-02-25,16577,120,700414
2021-02-26,16488,113,689893
2021-02-27,16752,113,485607
2021-02-28,15510,106,58719
2021-03-01,12286,91,552870
2021-03-02,14989,98,766613
2021-03-03,17407,89,995299
2021-03-04,16838,113,1389455
2021-03-05,18284,108,1492201
2021-03-06,18754,100,1424640
2021-03-07,18599,97,66666
2021-03-08,15388,77,2019723
2021-03-09,17921,133,1359173
2021-03-10,22854,126,1317105
2021-03-11,23285,117,479909
2021-03-12,24882,140,2053537
2021-03-13,25320,161,1519952
2021-03-14,26291,118,169629
2021-03-15,24492,131,3039394
2021-03-16,28903,188,2117104
2021-03-17,35871,172,2078719
2021-03-18,39726,154,2196562
2021-03-19,40953,188,2723575
2021-03-20,43846,197,2540449
2021-03-21,46951,212,462157
2021-03-22,40715,199,3428596
2021-03-23,47262,275,2346692
2021-03-24,53476,251,2304423
2021-03-25,59118,257,2358731
2021-03-26,62258,291,2605333
2021-03-27,62714,312,2160009
2021-03-28,68020,291,260653
2021-03-29,56211,271,582919
2021-03-30,53480,354,1940999
2021-03-31,72330,459,2063543
2021-04-01,81466,469,3671242
2021-04-02,89129,714,4265157
2021-04-03,93249,513,2925356
2021-04-04,103558,478,3125512
2021-04-05,96982,446,4005763
2021-04-06,115736,630,3966548
2021-04-07,126789,685,3121199
2021-04-08,131968,780,4135589
2021-04-09,145384,794,3740898
2021-04-10,152879,839,3519987
2021-04-11,168912,904,2933418
2021-04-12,161736,879,4004520
2021-04-13,184372,1027,2646493
2021-04-14,200739,1038,3313660
2021-04-15,217353,1185,2730271
2021-04-16,234692,1341,2714132
2021-04-17,261394,1501,2684949
2021-04-18,273802,1619,1229976
2021-04-19,259167,1761,3276547
2021-04-21,609802,4127,2516992
2021-04-22,332921,2263,3108503
2021-04-25,1049468,8203,6430565
2021-04-26,323023,2771,3339774
2021-04-27,360927,3293,2354286
2021-04-28,379308,3645,2174159
2021-04-29,386555,3498,2215380
2021-04-30,401993,3523,2729335
2021-05-01,392488,3689,1628218
2021-05-02,368060,3417,585186
2021-05-03,357316,3449,1870625
2021-05-04,382146,3780,1668616
2021-05-05,412431,3980,2180486
2021-05-06,414188,3915,2672365
2021-05-07,401078,4187,2586397
2021-05-08,403405,4077,2303857
2021-05-09,366494,3769,811011
2021-05-10,329942,3876,2794050
2021-05-11,348421,4205,2763725
2021-05-12,362727,4120,2182934
2021-05-13,343144,4000,2316269
2021-05-14,326098,3890,1284567
2021-05-15,311170,4077,1898123
2021-05-16,281386,4106,706470
2021-05-17,263533,4329,1566198
2021-05-18,267334,4529,1374398
2021-05-19,276110,3874,1218998
2021-05-20,259551,4209,1476285
2021-05-22,498141,7935,2955612
2021-05-23,222315,4454,876743
2021-05-24,196427,3511,2446471
2021-05-25,208921,4157,1341068
2021-05-26,211298,3847,2918836
2021-05-27,186364,3660,2777551
2021-05-28,173790,3617,1963636
2021-05-29,165553,3460,3922151
2021-05-30,152734,3128,1576170
2021-05-31,127510,2795,1784772
2021-06-01,132788,3207,2685843
2021-06-02,134154,2887,2542428
2021-06-03,132364,2713,2666218
2021-06-04,120529,3380,5263384
2021-06-05,114460,2677,1963376
2021-06-06,100636,2427,2469901
2021-06-07,86498,2123,2449607
2021-06-08,92596,2219,3190277
2021-06-09,93463,2177,3175576
2021-06-10,92291,7374,3425398
2021-06-11,84332,4002,3421339
2021-06-12,80834,3303,2484825
2021-06-13,70421,3921,3242349
2021-06-14,60471,2726,3329948
2021-06-15,62224,2542,2545002
2021-06-16,67208,2330,3020534
2021-06-17,62480,1587,4644350
2021-06-18,60753,1647,3385690
2021-06-19,58226,1571,4552372
2021-06-20,53449,1427,3378287
2021-06-21,42640,1167,9027343
2021-06-22,50848,1358,6541514
2021-06-23,54069,1321,3514882
2021-06-24,51667,1329,6683689
2021-06-25,48698,1183,6607501
2021-06-26,50040,1258,8179856
2021-06-27,46148,979,3189028
2021-06-28,37566,907,3393166
2021-06-29,45951,817,6000335
2021-06-30,48786,1005,1734226
2021-07-01,46617,853,5583510
2021-07-02,44111,738,930145
2021-07-03,43071,955,8628796
2021-07-04,39796,723,3077960
2021-07-05,34703,553,3850947
2021-07-06,43733,930,3078149
2021-07-07,45892,817,3763117
2021-07-08,43393,911,10920459
2021-07-10,84272,2101,7041364
2021-07-11,37154,724,1319915
2021-07-12,32906,2020,4115145
2021-07-13,38865,622,6230289
2021-07-14,41733,583,3642556
2021-07-15,38949,542,4003276
2021-07-16,38079,560,4352112
2021-07-17,41157,518,5235836
2021-07-19,68257,873,6914686
2021-07-20,42015,3998,3626054
2021-07-21,41383,507,2378696
2021-07-22,35342,483,5565879
2021-07-23,39097,546,4465231
2021-07-24,39742,535,5268603
2021-07-25,39361,416,2045137
2021-07-26,29689,415,6716394
2021-07-27,43654,640,4244264
2021-07-28,43509,640,4549598
2021-07-29,44230,555,5327497
2021-07-30,41649,593,5484725
2021-08-01,81965,963,10705160
2021-08-03,73174,984,13062931
2021-08-04,42982,533,4055725
2021-08-05,44643,464,5985300
2021-08-06,38628,617,5682014
2021-08-07,39070,491,5800883
2021-08-08,35499,447,1854267
2021-08-09,28204,373,5835509
2021-08-10,38353,497,4580256
2021-08-11,41195,490,4590495
2021-08-13,78787,1063,12518884
2021-08-14,36083,493,7656387
2021-08-16,58103,854,6673748
2021-08-17,35178,440,6000278
2021-08-18,36401,530,5631199
2021-08-19,36571,540,4444193
2021-08-20,34457,375,6609756
2021-08-21,30948,403,3160356
2021-08-22,25072,389,4406004
2021-08-23,25467,354,1467406
2021-08-24,37593,648,6492274
2021-08-25,46164,607,9191734
2021-08-26,44658,496,6467973
2021-08-27,46759,509,11149316
2021-08-28,45083,460,10324239
2021-08-29,42909,380,6723085
2021-08-30,30941,350,6717760
2021-08-31,41965,460,5493614
2021-09-01,47092,509,16777691
2021-09-02,45352,366,8198711
2021-09-03,42618,330,5879308
2021-09-04,42766,308,2090034
2021-09-05,38948,219,6770544
2021-09-06,31222,290,3938050
2021-09-07,37875,369,11214841
2021-09-08,43263,338,10882406
2021-09-09,34973,260,10359429
2021-09-10,33376,308,3204492
2021-09-11,28591,338,9314241
2021-09-12,27254,219,6849164
2021-09-13,25404,339,10006433
2021-09-14,27176,284,2429500
2021-09-15,30570,431,8636646
2021-09-16,34403,320,9990926
2021-09-17,35662,281,6046209
2021-09-18,30773,309,18627269
2021-09-19,30256,295,8763577
2021-09-20,26115,252,7453820
2021-09-21,26964,383,9603746
2021-09-22,31923,282,5461711
2021-09-23,31382,318,9941864
2021-09-24,29616,290,10413980
2021-09-25,28326,260,4502882
2021-09-26,26041,276,3635047
2021-09-27,18795,179,12982370
2021-09-28,18870,378,4470545
2021-09-29,23529,311,6447804
2021-09-30,26727,277,6732827
2021-10-01,24354,234,6778692
2021-10-02,22842,244,7800286
2021-10-03,20799,180,5151203
2021-10-04,18346,263,4924856
2021-10-05,18833,278,7048921
2021-10-06,22431,318,5397701
2021-10-07,21257,271,3646908
2021-10-08,19740,248,8045908
2021-10-09,18166,214,7814151
2021-10-10,18132,193,8105914
2021-10-11,14313,181,3768263
2021-10-12,15823,226,6431534
2021-10-13,18987,246,4564718
2021-10-14,16862,379,2457704
2021-10-15,15981,166,2801396
2021-10-16,14146,144,1522695
2021-10-17,13596,166,3658554
2021-10-18,13058,164,2610042
2021-10-19,14623,197,8158313
2021-10-20,18454,160,10285981
2021-10-21,15786,231,5805257
2021-10-22,16326,666,6741374
2021-10-23,15906,561,3691768
2021-10-24,14306,443,8630419
2021-10-25,12428,356,1882099
2021-10-26,13451,585,6700130
2021-10-27,16156,733,5718331
2021-10-28,14348,805,5890123
2021-10-29,14313,549,9250102
2021-10-30,12830,446,6780798
2021-10-31,12514,251,4141918
2021-11-01,10423,443,5022978
2021-11-02,11903,311,2064317
2021-11-03,12885,461,5340775
2021-11-04,12729,221,2047902
2021-11-05,10929,392,686300
2021-11-06,10826,526,2383854
2021-11-07,11478,266,2964808
2021-11-08,10126,332,5093752
2021-11-09,11466,460,3912102
2021-11-10,13091,340,5658232
2021-11-11,12516,501,4969221
2021-11-12,11850,555,8647724
2021-11-13,11271,285,7757037
2021-11-14,10229,125,3709083
2021-11-15,8865,197,4092054
2021-11-16,10197,301,6706723
2021-11-17,11919,470,7318494
2021-11-18,11106,459,7780179
2021-11-19,10302,267,4808670
2021-11-20,10488,313,10089449
2021-11-21,8488,249,4372222
2021-11-22,7579,236,7786149
2021-11-23,9283,437,8103834
2021-11-24,9119,396,9822019
2021-11-25,10549,488,4759413
2021-11-26,8318,465,12229439
2021-11-27,8774,621,1734965
