Festival Name,Start Date,End Date
15 Minutes of Fame Indie Film Festival,2/29/20,2/29/20
24fps International Short Film Festival,11/6/20,11/7/20
5Point Adventure Film Festival,4/24/20,4/26/20
ACT Human Rights Film Festival,4/3/20,4/11/20
Action On Film Festival,7/23/20,8/2/20
ADF's Movies by Movers,6/6/20,7/18/20
Adirondack Film Festival,10/15/20,10/18/20
Adventure Film Festival,3/26/20,3/28/20
AFI Docs,6/17/20,6/21/20
AFI Fest,10/15/20,10/22/20
"African Film Festival, The",6/1/20,6/6/20
Albany Film Fest,3/21/20,3/29/20
All American High School Film Festival,10/9/20,10/11/20
"All Genders, Lifestyles, and Identities Film Festival ",8/6/20,8/9/20
American Black Film Festival,6/17/20,6/21/20
American Conservation Film Festival,3/24/20,3/28/20
American Documentary and Animation Film Festival,3/27/20,3/31/20
American Horror Film Festival,1/11/20,1/11/20
American Indian Film Festival,11/3/20,11/7/20
American Youth Film Festival,6/25/20,6/28/20
Anchorage International Film Festival,12/4/20,12/13/20
Anim8 Student Film Festival,10/19/20,10/19/20
Animated Arizona Film Festival,1/18/20,1/18/20
Animation Nights New York ,10/3/20,10/4/20
Ann Arbor Film Festival ,3/24/20,3/29/20
Annapolis Film Festival,3/26/20,3/29/20
Another Hole in the Head Film Festival,11/29/20,12/13/20
Antham Libertarian Film Festival,7/13/20,7/16/20
Apocalypse Later International Fantastic Film Festival,10/9/20,10/11/20
Arab Film Festival @ Arab National Museum,6/5/20,6/14/20
"Archaeology Channel International Film Festival, The",5/13/20,5/17/20
Arizona International Film Festival,4/15/20,4/26/20
Arkansas Shorts,1/4/20,1/4/20
Arlington International Film Festival,11/5/20,11/8/20
"Art of Brooklyn Film Festival, The ",6/1/20,6/7/20
Artemis Women in Action Film Festival ,4/22/20,4/25/20
"Artists Forum Festival of the Moving Image, The",10/15/20,10/17/20
Ashland Independent Film Festival,4/16/20,4/20/20
"Asian American Showcase, The",4/3/20,4/16/20
Asian Film Festival of Dallas,7/16/20,7/23/20
ASIFA-South Animation Conference and Festival,6/6/20,6/7/20
Aspen Filmfest,9/21/20,9/26/20
Aspen Shortsfest,3/31/20,4/5/20
Athena Film Festival ,2/27/20,3/1/20
Athens International Film + Video Festival ,4/6/20,4/12/20
Atlanta Comedy Film Festival,7/31/20,7/31/20
Atlanta DocuFest,11/5/20,11/7/20
Atlanta Film Festival,4/30/20,5/10/20
Atlanta Horror Film Fest,9/17/20,9/19/20
Atlanta Jewish Film Festival,2/5/20,2/25/20
Atlanta Shortsfest,7/16/20,7/18/20
Atlanta Underground Film Festival,8/13/20,8/15/20
