Date(s),Sport,Event,Location,date_start,date_end
Jan 9-22,Multi-sports,Winter Youth Olympics,"Lausanne, Switzerland",2020-01-09,2020-01-22
Jan 20-Feb 2,Tennis,Australian Open,"Melbourne, Australia",2020-01-20,2020-02-02
Jan 23-26,Extreme Sports,Winter X Games 24,"Aspen, Colorado, USA",2020-01-23,2020-01-26
Feb 1 - Mar 14,Rugby Union,Six Nations,"UK, Ireland, France & Italy",2020-02-01,2020-03-14
Feb 2,Football (American),Super Bowl,"Miami Gardens, Florida",2020-02-02,2020-02-02
Feb 20-28,Multi-sports,IWAS World Games,"Nakhon Ratchasima, Thailand",2020-02-20,2020-02-28
Feb 21 – 8 Mar,Cricket,ICC World T20 (women),Australia,2020-02-21,2020-03-08
Feb 26 - 1 Mar,Cycling,World Track Championships,"Berlin, Germany",2020-02-26,2020-03-01
Jul 31 - Aug 16 (postponed from April),Snooker,World Snooker Championship,"Crucible Theatre in Sheffield, England",2020-07-31,2020-08-16
Aug 6-9 (postponed from May 14-17),Golf,US PGA,"TPC Harding Park, San Francisco, California",2020-08-06,2020-08-09
Aug 23 (postponed from May 24),Auto Racing,Indianapolis 500,"Indianapolis, USA",2020-08-23,2020-08-23
Aug 23 (postponed from May 30),Football (Soccer),UEFA Champions League Final,"Estádio da Luz in Lisbon, Portugal",2020-08-23,2020-08-23
Aug 29 - Sep 20 (postponed from Jun 27 - Jul 19),Cycling,Tour de France,France,2020-08-29,2020-09-20
Aug 31 - Sep 13,Tennis,US Open,"New York, USA",2020-08-31,2020-09-13
Sep 5 (postponed from May 2),Horse Racing,Kentucky Derby,"Louisville, Kentucky, US",2020-09-05,2020-09-05
Sep 17-20 (postponed from June),Golf,US Open,"Winged Foot Golf Club, Mamaroneck, New York",2020-09-17,2020-09-20
Sept 19-20 (postponed from Jun 13-14),Auto Racing,88th 24 Hours of Le Mans,"Circuit de la Sarthe, Le Mans, France",2020-09-19,2020-09-20
Sep 19 - Sep 28 (postponed from June),Ice Hockey,Stanley Cup finals,"Rogers Place, Edmonton, Alberta, Canada",2020-09-19,2020-09-28
Sep 24-27,Cycling,UCI Road World Championships,"Aigle and Martigny, Switzerland Imola, Italy",2020-09-24,2020-09-27
Sep 27-Oct 11 (postponed from May),Tennis,French Open,"Paris, France",2020-09-27,2020-10-11
Sep 30 – Oct 11 (postponed from June),Basketball,NBA Finals,"ESPN Wide World of Sports Complex, Walt Disney World, Florida, USA",2020-09-30,2020-10-11
Oct 20-28,Baseball,World Series,"Globe Life Field in Arlington, Texas",2020-10-20,2020-10-28
Oct 24,AFL,Grand Final,"Melbourne, Australia",2020-10-24,2020-10-24
Oct 25 (postponed from Oct 4),Rugby League,NRL Grand Final,"Sydney Cricket Ground, Australia",2020-10-25,2020-10-25
Nov 3,Horse Racing,Melbourne Cup,"Victoria, Australia",2020-11-03,2020-11-03
Nov 12-15 (postponed from April),Golf,Masters,"Augusta, USA",2020-11-12,2020-11-15
