Object ID,Last Year's Month,ADDRESS,Primary Category for Calendar,Category,GA,Festival Name,Website,FilmFreeway / Submissions,Date Changes & Cancellations due to COVID-19,Start Date,End Date,City,State,First Submission Deadline,Last Submission Deadline,Oscar Qualifying (Short Subject),Oscar Qualifying (Doc Short),Film Fest Alliance,Category Start,General,Documentary,Short,Women's,LGBTQ+,Jewish,"Black, African, Afr. Am. (etc)","Asian, As. Am. (etc)","Latino, Latin American (etc)","Native American, Indigenous (etc)","Muslim, Arab, Arab Am. (etc)","Misc. Ethnic, Cultural, Foreign Focus (etc)","Genre - (SciFi, Fantasy, Thriller, Horror, etc.)",Horror,Underground,Animation,Comedy,Student,Misc. Niche,"Environment, Outdoor, Adventure, Wildlife","Social Justice, Peace",Children's,Dance,Christian,"Experimental, Video Art (etc)"
765,,"1300 North Atlantic Avenue, Cocoa Beach, Florida 32931",Short,Short,,15 Minutes of Fame Indie Film Festival,https://etheridgeproductions.com/,https://filmfreeway.com/15MinutesofFame,,2/29/2020,2/29/2020,Cocoa Beach,FL,9/30/2019,2/6/2020,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,
935,11,"352 Cypress Street, Abilene, Texas 79601 United States",Short,Short,,24fps International Short Film Festival,http://24fpsfest.com,https://filmfreeway.com/24fpsfest,,11/6/2020,11/7/2020,Abilene,TX,7/17/2020,7/17/2020,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,
769,,"567 Colorado Avenue, Carbondale, Colorado 81623","Environment, Outdoor, Adventure, Wildlife","Short, Environmental/Outdoor/Adventure/Wildlife",,5Point Adventure Film Festival,https://5pointfilm.org/,https://filmfreeway.com/5PointFilmFestival,New dates: Oct 14-18,4/24/2020,4/26/2020,Carbondale,CO,11/1/2019,3/6/2020,,,, ,,,x,,,,,,,,,,,,,,,,,x,,,,,
926,,"1101 Center Avenue Mall, Fort Collins, Colorado 80521 United States",Student,"Student, Short",,ACT Human Rights Film Festival,https://actfilmfest.colostate.edu,https://filmfreeway.com/ACTHumanRightsFilmFestival,Postponed,4/3/2020,4/11/2020,Fort Collins,CO,--- ,---,,,x,,,,x,,,,,,,,,,,,,,,x,,,,,,,
1,11,"3545 Lipan Street Denver, CO 80211 United States",Misc. Niche,Misc. Niche,,Action Figure Film Festival,http://www.actionfigurefilmfestival.com/,https://filmfreeway.com/afff,,tbd,tbd,Denver,CO,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,
793,,"3540 W.Sahara Ave., Las Vegas, Nv 89102",Misc. Niche,Misc. Niche,,Action On Film Festival,https://www.actiononfilmfest.com/,https://filmfreeway.com/aofmegafest,"New Dates: Online Aug 28-Sep 1, in-person* Sep 2-6",7/23/2020,8/2/2020,Las Vegas,NV,11/30/2019,7/1/2020,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,
2,,"32123 Boone, NC 28608 United States",Dance,Dance,,ADF's Movies by Movers,http://www.americandancefestival.org/projects/moviesbymovers/,https://filmfreeway.com/MoviesByMovers,Canceled,6/6/2020,7/18/2020,Boone,NC,2/14/2020,2/14/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,
3,,"207 Glen Street, Glens Falls, New York 12801",General,General,,Adirondack Film Festival,http://www.adkfilmfestival.org/,https://filmfreeway.com/AdirondackFilmFestival,"Switched to virtual (with ""Film Festival In a Box"" experience)",10/15/2020,10/18/2020,Glen Falls,NY,1/1/2020,5/5/2020,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,
4,,"2032 14th Street, Boulder, Colorado 80302",General,General,,Adventure Film Festival,http://www.adv...turefilm.org/,https://filmfreeway.com/AdventureFilmFestival,,3/26/2020,3/28/2020,Boulder,CO,4/21/2019,9/25/2019,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,
5,,"8633 Colesville Road, Silver Spring, MD 20910",Documentary,Documentary,,AFI Docs,http://www.afi.com/afidocs/,https://filmfreeway.com/AFIDOCS,Switched to virtual,6/17/2020,6/21/2020,Washington,DC,11/29/2019,3/13/2020,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,
